sample_idx,feature,importance,rank
55337,sensor_50_max,16.677934646606445,2
55337,sensor_49_avg,13.957440376281738,3
55337,sensor_50_avg,13.230480194091797,4
55337,sensor_52_avg,12.48717975616455,5
55337,sensor_52_max,11.935060501098633,6
55337,sensor_51_max,9.157614707946777,7
55337,sensor_51_avg,9.086172103881836,8
55337,sensor_186_max,8.656881332397461,9
55337,sensor_186_min,8.645055770874023,10
55337,sensor_186_avg,8.60799789428711,11
55337,sensor_51_min,7.024163246154785,12
55337,sensor_15_max,6.119111061096191,13
55337,sensor_15_avg,6.094602108001709,14
55337,sensor_52_min,6.007534980773926,15
55340,sensor_49_max,18.077909469604492,1
55340,sensor_50_max,16.677854537963867,2
55340,sensor_49_avg,13.912960052490234,3
55340,sensor_52_avg,13.661715507507324,4
55340,sensor_50_avg,13.187074661254883,5
55340,sensor_52_max,11.952544212341309,6
55340,sensor_51_avg,9.575196266174316,7
55340,sensor_51_max,9.159088134765625,8
55340,sensor_186_max,8.731710433959961,9
55340,sensor_186_min,8.721664428710938,10
55340,sensor_186_avg,8.683761596679688,11
55340,sensor_51_min,7.474197864532471,12
55340,sensor_52_min,6.583622932434082,13
55340,sensor_15_max,6.094358921051025,14
55340,sensor_15_avg,6.073065280914307,15
55343,sensor_49_max,18.06964874267578,1
55343,sensor_50_max,16.67844581604004,2
55343,sensor_49_avg,13.91728401184082,3
55343,sensor_52_avg,13.722335815429688,4
55343,sensor_50_avg,13.202130317687988,5
55343,sensor_52_max,13.097698211669922,6
55343,sensor_51_max,9.739123344421387,7
55343,sensor_51_avg,9.651443481445312,8
55343,sensor_186_max,8.494118690490723,9
55343,sensor_186_min,8.470843315124512,10
55343,sensor_186_avg,8.43200969696045,11
55343,sensor_51_min,7.427426338195801,12
55343,sensor_52_min,6.582485675811768,13
55343,sensor_15_max,6.025832653045654,14
55343,sensor_15_avg,6.000411033630371,15
55347,sensor_49_max,18.055835723876953,1
55347,sensor_50_max,16.65567398071289,2
55347,sensor_49_avg,13.907208442687988,3
55347,sensor_52_avg,13.714471817016602,4
55347,sensor_50_avg,13.18697738647461,5
55347,sensor_52_max,13.10151195526123,6
55347,sensor_51_max,9.716819763183594,7
55347,sensor_51_avg,9.635929107666016,8
55347,sensor_186_max,8.557564735412598,9
55347,sensor_186_min,8.544132232666016,10
55347,sensor_186_avg,8.509058952331543,11
55347,sensor_51_min,7.463260650634766,12
55347,sensor_52_min,6.576740741729736,13
55347,sensor_15_max,6.072157859802246,14
55347,sensor_15_avg,6.048945426940918,15
55351,sensor_49_max,18.043174743652344,1
55351,sensor_50_max,16.703140258789062,2
55351,sensor_49_avg,13.912479400634766,3
55351,sensor_52_avg,13.724268913269043,4
55351,sensor_50_avg,13.235006332397461,5
55351,sensor_52_max,13.091718673706055,6
55351,sensor_51_max,9.771553993225098,7
55351,sensor_51_avg,9.68867015838623,8
55351,sensor_186_max,9.168499946594238,9
55351,sensor_186_min,9.148898124694824,10
55351,sensor_186_avg,9.097434043884277,11
55351,sensor_51_min,7.478074073791504,12
55351,sensor_52_min,6.538755893707275,13
55351,sensor_15_max,6.070154666900635,14
55351,sensor_15_avg,6.039151668548584,15
55352,sensor_49_max,18.028993606567383,1
55352,sensor_50_max,16.737451553344727,2
55352,sensor_49_avg,13.922744750976562,3
55352,sensor_52_avg,13.730674743652344,4
55352,sensor_50_avg,13.289454460144043,5
55352,sensor_52_max,13.068303108215332,6
55352,sensor_51_max,9.848304748535156,7
55352,sensor_51_avg,9.751629829406738,8
55352,sensor_186_max,9.643688201904297,9
55352,sensor_186_min,9.6249361038208,10
55352,sensor_186_avg,9.550142288208008,11
55352,sensor_51_min,7.520756721496582,12
55352,sensor_52_min,6.512768268585205,13
55352,sensor_15_max,5.829159736633301,14
